2017-02-06 18:40:29,135| DEBUG| asyncio| Using selector: EpollSelector
2017-02-06 18:40:29,297| INFO| scraper| successful response: id: http://www.epicurious.com/recipes/food/views/412, final: http://www.epicurious.com/recipes/food/views/tangerine-watercress-and-blue-cheese-salad-412
2017-02-06 18:40:30,091| INFO| scraper| successful response: id: http://www.foodnetwork.com/recipes/3, final: http://www.foodnetwork.com/recipes/chicken-with-snap-peas-and-shiitakes-recipe.html
2017-02-06 18:40:30,847| INFO| scraper| successful response: id: http://allrecipes.com/recipe/6663, final: http://allrecipes.com/recipe/6663/crispy-cheese-twists/
2017-02-06 18:40:31,176| INFO| scraper| successful response: id: http://www.therecipedepository.com/recipe/4, final: http://www.therecipedepository.com/recipe/4
2017-02-06 18:40:34,931| INFO| scraper| successful response: id: http://www.epicurious.com/recipes/food/views/413, final: http://www.epicurious.com/recipes/food/views/braised-fish-with-fennel-tomatoes-and-olives-413
2017-02-06 18:40:37,214| INFO| scraper| successful response: id: http://www.foodnetwork.com/recipes/4, final: http://www.foodnetwork.com/recipes/spicy-shrimp-and-mango-with-snow-pea-salad-recipe.html
2017-02-06 18:40:40,446| INFO| scraper| successful response: id: http://www.therecipedepository.com/recipe/5, final: http://www.therecipedepository.com/recipe/5
2017-02-06 18:40:40,643| INFO| scraper| successful response: id: http://www.epicurious.com/recipes/food/views/414, final: http://www.epicurious.com/recipes/food/views/cold-poached-salmon-with-mustard-lime-sauce-414
2017-02-06 18:40:44,353| INFO| scraper| successful response: id: http://www.foodnetwork.com/recipes/5, final: http://www.foodnetwork.com/recipes/gingered-beef-with-leeks-and-asparagus-recipe.html
2017-02-06 18:40:47,010| INFO| scraper| successful response: id: http://www.epicurious.com/recipes/food/views/415, final: http://www.epicurious.com/recipes/food/views/dilled-seafood-en-papillote-415
2017-02-06 18:40:49,619| INFO| scraper| successful response: id: http://www.therecipedepository.com/recipe/6, final: http://www.therecipedepository.com/recipe/6
2017-02-06 18:40:51,474| INFO| scraper| successful response: id: http://www.foodnetwork.com/recipes/6, final: http://www.foodnetwork.com/recipes/food-network-kitchens/pickled-ginger-recipe.html?vty=recipes/pickled-ginger-recipe.html
2017-02-06 18:40:52,263| INFO| scraper| successful response: id: http://allrecipes.com/recipe/6664, final: http://allrecipes.com/recipe/6664/basil-roasted-peppers-and-monterey-jack-cornbread/
2017-02-06 18:40:53,629| INFO| scraper| successful response: id: http://www.epicurious.com/recipes/food/views/416, final: http://www.epicurious.com/recipes/food/views/halibut-with-swiss-chard-and-ginger-cream-sauce-416
